product_category_name,seller_id,seller_state,seller_city,week_start,total_orders,total_items,total_sales,avg_order_value
moveis_decoracao,1554a68530182680ad5c8b042c3ab563,MG,monte siao,2016-08-29 00:00:00.000,1,2,136.23,68.115
telefonia,a425f92c199eb576938df686728acd20,PR,curitiba,2016-09-05 00:00:00.000,1,1,75.06,75.06
beleza_saude,ecccfa2bb93b34a3bf033cc5d1dcdc69,PR,curitiba,2016-09-12 00:00:00.000,1,3,143.46,47.82
bebes,25e6ffe976bd75618accfe16cefcbd0d,SP,sao paulo,2016-09-26 00:00:00.000,1,1,109.34,109.34
livros_tecnicos,4be2e7f96b4fd749d52dff41f80e39dd,AC,rio branco,2016-10-03 00:00:00.000,1,1,299.84000000000003,299.84000000000003
informatica_acessorios,d03698c2efd04a549382afa6623e27fb,BA,ilheus,2016-10-03 00:00:00.000,1,1,176.85000000000002,176.85000000000002
cool_stuff,cf281cf8b7affbdfe751b29cc85580e1,CE,eusebio,2016-10-03 00:00:00.000,1,1,90.23,90.23
cool_stuff,c9a06ece156bb057372c68718ec8909b,DF,brasilia,2016-10-03 00:00:00.000,1,1,63.72,63.72
ferramentas_jardim,c9a06ece156bb057372c68718ec8909b,DF,brasilia,2016-10-03 00:00:00.000,1,1,419.06,419.06
market_place,c9a06ece156bb057372c68718ec8909b,DF,brasilia,2016-10-03 00:00:00.000,1,1,98.55,98.55
telefonia,5656537e588803a555b8eb41f07a944b,DF,brasilia,2016-10-03 00:00:00.000,1,1,47.54,47.54
informatica_acessorios,2f4b9d112bfa44a214bc6cef085d17c8,ES,afonso claudio,2016-10-03 00:00:00.000,1,1,41.18,41.18
bebes,61f159ef6da2d441951d2c0efa719362,ES,serra,2016-10-03 00:00:00.000,1,1,84.07,84.07
moveis_decoracao,b335c59ab742f751a85db9c411a86739,MG,araguari,2016-10-03 00:00:00.000,1,1,86.88000000000001,86.88000000000001
beleza_saude,c7dcd301ecfe5ab7f778ac172cf74be7,MG,belo horizonte,2016-10-03 00:00:00.000,3,3,200.83,66.94333333333333
cama_mesa_banho,dd2bdf855a9172734fbc3744021ae9b9,MG,belo horizonte,2016-10-03 00:00:00.000,1,1,184.87,184.87
climatizacao,c7dcd301ecfe5ab7f778ac172cf74be7,MG,belo horizonte,2016-10-03 00:00:00.000,1,1,319.0,319.0
informatica_acessorios,229c3efbfb0ea2058de4ccdfbc3d784a,MG,belo horizonte,2016-10-03 00:00:00.000,1,1,95.58,95.58
informatica_acessorios,85d9eb9ddc5d00ca9336a2219c97bb13,MG,belo horizonte,2016-10-03 00:00:00.000,1,1,35.42,35.42
telefonia_fixa,54aa8463e87776b5612f4bdc4bd5d4de,MG,belo horizonte,2016-10-03 00:00:00.000,1,1,286.54999999999995,286.54999999999995
automotivo,2b1a40c1daabc6ca280c4b815c101841,MG,divinopolis,2016-10-03 00:00:00.000,1,2,459.14,229.57
brinquedos,1554a68530182680ad5c8b042c3ab563,MG,monte siao,2016-10-03 00:00:00.000,2,2,175.14,87.57
moveis_decoracao,1554a68530182680ad5c8b042c3ab563,MG,monte siao,2016-10-03 00:00:00.000,1,1,62.33,62.33
fashion_bolsas_e_acessorios,0ea22c1cfbdc755f86b9b54b39c16043,MG,sete lagoas,2016-10-03 00:00:00.000,2,3,186.73,62.24333333333334
cama_mesa_banho,0c8380b62e38e8a1e6adbeba7eb9688c,MG,tres coracoes,2016-10-03 00:00:00.000,1,3,110.49,36.83
