seller_state,product_category_name,total_orders,total_items,total_sales,avg_order_value
MG,moveis_decoracao,1,2,4.9143446337779695,4.221197453218024
PR,telefonia,1,1,4.318287793706875,4.318287793706875
PR,beleza_saude,1,3,4.966056250698289,3.867443962030179
SP,bebes,1,1,4.694462293466853,4.694462293466853
AC,livros_tecnicos,1,1,5.703248999050057,5.703248999050057
BA,informatica_acessorios,1,1,5.17530191565149,5.17530191565149
CE,cool_stuff,1,1,4.50236196600641,4.50236196600641
DF,cool_stuff,1,1,4.154498485041848,4.154498485041848
DF,ferramentas_jardim,1,1,6.038014107760962,6.038014107760962
DF,market_place,1,1,4.590564033598729,4.590564033598729
DF,telefonia,1,1,3.861571461932048,3.861571461932048
ES,informatica_acessorios,1,1,3.717952701599643,3.717952701599643
ES,bebes,1,1,4.431649785147205,4.431649785147205
MG,moveis_decoracao,1,1,4.464527856185625,4.464527856185625
MG,beleza_saude,3,3,5.302458779048587,4.203846490380477
MG,cama_mesa_banho,1,1,5.219652875364354,5.219652875364354
MG,climatizacao,1,1,5.765191102784844,5.765191102784844
MG,informatica_acessorios,1,1,4.559963593150012,4.559963593150012
MG,informatica_acessorios,1,1,3.5672766323546874,3.5672766323546874
MG,telefonia_fixa,1,1,5.657913040997746,5.657913040997746
MG,automotivo,1,2,6.129355174447425,5.43620799388748
MG,brinquedos,2,2,5.1655856540940785,4.472438473534133
MG,moveis_decoracao,1,1,4.132442850820759,4.132442850820759
MG,fashion_bolsas_e_acessorios,2,3,5.229663723230988,4.131051434562879
MG,cama_mesa_banho,1,3,4.704925019125084,3.606312730456974
MG,fashion_bolsas_e_acessorios,1,1,5.03376571148511,5.03376571148511
MG,moveis_decoracao,1,1,5.082893938248965,5.082893938248965
MG,utilidades_domesticas,1,1,4.102973888920155,4.102973888920155
MS,beleza_saude,2,2,5.8488635785089595,5.155716397949014
MS,cool_stuff,1,1,5.472144615306285,5.472144615306285
PR,consoles_games,1,1,6.494887841107211,6.494887841107211
PR,relogios_presentes,1,1,3.8168328184243974,3.8168328184243974
PR,bebes,1,1,3.7476199491365363,3.7476199491365363
PR,beleza_saude,12,13,7.078779932033795,4.513830574572258
PR,esporte_lazer,1,1,5.077920040901852,5.077920040901852
PR,esporte_lazer,1,1,5.155601064346442,5.155601064346442
PR,ferramentas_jardim,1,1,5.051265270182151,5.051265270182151
PR,moveis_decoracao,1,1,5.182401336950694,5.182401336950694
PR,relogios_presentes,3,3,7.60041734189154,6.501805053223431
PR,moveis_decoracao,1,1,4.51393170555382,4.51393170555382
PR,cool_stuff,1,1,4.490432508517668,4.490432508517668
PR,moveis_decoracao,1,1,4.7141142729772705,4.7141142729772705
PR,automotivo,1,1,5.753334253485448,5.753334253485448
PR,climatizacao,4,9,7.368913654052491,5.171689076716272
PR,esporte_lazer,1,1,4.185098925490565,4.185098925490565
PR,moveis_decoracao,1,1,4.725439018379036,4.725439018379036
PR,automotivo,1,1,4.338597076746545,4.338597076746545
PR,moveis_decoracao,1,1,5.761736867916757,5.761736867916757
RJ,livros_interesse_geral,1,1,4.973556285854835,4.973556285854835
RJ,bebes,1,1,3.9290767599939738,3.9290767599939738
RJ,beleza_saude,4,4,6.154157211512974,4.767862850393083
RJ,perfumaria,24,25,8.670353666867205,5.4514778419990035
RJ,bebes,3,3,6.7116309000107215,5.6130186113426115
RJ,brinquedos,6,7,7.380068738514763,5.43415858945945
RJ,cama_mesa_banho,1,1,3.806884687304841,3.806884687304841
RJ,perfumaria,2,2,4.638314784580394,3.945167604020448
RS,moveis_decoracao,1,1,5.583909757134735,5.583909757134735
RS,brinquedos,1,1,4.566741159368309,4.566741159368309
RS,cool_stuff,1,1,4.7958731868099616,4.7958731868099616
RS,cool_stuff,1,1,5.0912931971137105,5.0912931971137105
RS,telefonia,1,1,5.530182771674116,5.530182771674116
RS,ferramentas_jardim,1,1,6.416013069692413,6.416013069692413
SC,informatica_acessorios,3,3,5.072608026411094,3.9739957377429853
SC,esporte_lazer,1,1,4.018183201256536,4.018183201256536
SC,pet_shop,2,2,5.497250189147188,4.804103008587243
SC,bebes,1,1,5.1717899600762784,5.1717899600762784
SC,brinquedos,1,1,5.03760174232607,5.03760174232607
SC,moveis_decoracao,2,4,5.044521290095393,3.658226928975502
SC,esporte_lazer,1,1,4.385146762010125,4.385146762010125
SC,eletronicos,1,1,7.1129629395627925,7.1129629395627925
SP,pet_shop,1,1,6.029915733482235,6.029915733482235
SP,relogios_presentes,1,1,7.2609090307938935,7.2609090307938935
SP,moveis_decoracao,3,4,5.418852168176774,4.032557807056883
SP,moveis_decoracao,1,1,3.5386377907833935,3.5386377907833935
SP,beleza_saude,1,1,5.505697322682768,5.505697322682768
SP,automotivo,1,1,4.19010918420648,4.19010918420648
SP,bebes,1,1,4.683241721408247,4.683241721408247
SP,moveis_decoracao,1,2,5.007028798502144,4.313881617942199
SP,Unknown,1,1,4.182050142641207,4.182050142641207
SP,esporte_lazer,1,1,3.6658666798048634,3.6658666798048634
SP,informatica_acessorios,1,1,4.904607889450726,4.904607889450726
SP,beleza_saude,2,3,5.53816069708466,4.439548408416551
SP,brinquedos,2,2,6.967956281672894,6.2748091011129485
SP,telefonia_fixa,1,1,5.370545000544918,5.370545000544918
SP,esporte_lazer,1,1,4.113493381060861,4.113493381060861
SP,brinquedos,1,1,4.9486889658772695,4.9486889658772695
SP,market_place,1,1,4.28496492183075,4.28496492183075
SP,bebes,2,4,5.8086228550671395,4.42232849394725
SP,cama_mesa_banho,2,3,5.584285470995482,4.485673182327372
SP,moveis_decoracao,1,2,3.8579891169356606,3.164841936375715
SP,moveis_decoracao,8,13,7.052928640140586,4.48797928267905
SP,moveis_decoracao,5,6,6.319868609079685,4.5281091398516295
SP,telefonia_fixa,1,1,4.512616204377483,4.512616204377483
SP,moveis_decoracao,1,1,6.040445169329604,6.040445169329604
SP,automotivo,1,1,5.994435130552815,5.994435130552815
SP,moveis_escritorio,4,4,6.292031995386996,4.905737634267105
SP,moveis_escritorio,1,1,6.663413627151747,6.663413627151747
SP,fashion_calcados,1,1,3.7123518102990785,3.7123518102990785
SP,beleza_saude,2,2,4.965079892436753,4.271932711876808
SP,perfumaria,2,4,5.489722542075034,4.103428180955143
SP,market_place,1,2,5.524217116055963,4.831069935496018
SP,consoles_games,3,3,7.984217387005671,6.885605098337561
SP,automotivo,1,1,3.827771452980555,3.827771452980555
SP,moveis_decoracao,1,1,3.463232772581608,3.463232772581608
SP,beleza_saude,1,2,4.8610519458900745,4.167904765330129
SP,Unknown,1,1,3.4151002868311466,3.4151002868311466
SP,brinquedos,2,2,5.216347803680786,4.52320062312084
SP,beleza_saude,7,7,6.35990253437907,4.413992385323756
SP,consoles_games,2,2,5.5093883366279774,4.816241156068032
SP,informatica_acessorios,6,9,6.657099205366803,4.459874628030584
SP,automotivo,1,1,4.110053855927281,4.110053855927281
SP,moveis_decoracao,2,2,4.676746384477314,3.983599203917368
SP,informatica_acessorios,2,2,4.625952725170619,3.9328055446106744
SP,ferramentas_jardim,1,1,5.279491262297988,5.279491262297988
SP,automotivo,1,1,3.1994891110680106,3.1994891110680106
SP,utilidades_domesticas,1,2,6.146757431514017,5.453610250954072
